FID,Presubmission_ID,Project_Name,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Proposed_Units,Proposed_Acres,Sign_Code,Sign_Year,locationDescription,TaxMap_Parcel,Zoning,Coordinates,geom
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40c4,254,St. John The Evangelist Baptist Church - COND. USE,2003-08-01,2003-08-18,5:00 PM,"LDE, Inc.",9250 Rumsey Rd  Ste 106,Columbia,21045,,,,,SE QUADRANT OF US RT 40 & MARRIOTTSVILLE RD,[TaxMap 16 Parcel 203],RC-DEO,"(39.2921,-76.8961)",POINT (1341760.9602343477 591948.3303051908)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40c3,250,Chura Property,2003-07-24,2003-08-12,5:30 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,2,1.31,,,TERMINUS OF MARYBETH WAY,[TaxMap 31 Parcel 383],R-20,"(39.2329,-76.8048)",POINT (1367622.8913583495 570446.0103261918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40c2,252,Kefauver Property,2003-07-25,2003-08-12,6:00 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,3,5.434,,,EAST SIDE OF OLD FREDERICK RD 470' S OF DANIELS RD,[TaxMap 18 Parcel 371],R-20,"(39.3025,-76.8053)",POINT (1367490.824162349 595748.8469061926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40c1,251,The Chase At Tiber Branch,2003-07-24,2003-08-12,6:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,60,40,,,N SIDE OLD COLUMBIA PIKE OPPOSITE BRITTANY DR,"[TaxMap 24 Parcel 264],[TaxMap 24 Parcel 811]",R-ED,"(39.263,-76.8138)",POINT (1365091.508966349 581367.5408091936)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40c0,248,Gonce Property,2003-07-09,2003-07-28,6:00 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,7,5,,,N SIDE MONTGOMERY RD OPPOSITE BELLANCA DR,[TaxMap 37 Parcel 47],R-20,"(39.2147,-76.7651)",POINT (1378891.964136351 563794.106234191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40bf,247,Newman Property,2003-07-07,2003-07-23,5:00 PM,(On Site),6029 Jerry's Dr,Columbia,21044,3,1.521,,,EAST SIDE OF JERRY'S DR,[TaxMap 35 Parcel 179],R-20,"(39.2048,-76.8764)",POINT (1347346.60908835 560193.2340321913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40be,246,Santillo Property,2003-07-07,2003-07-23,6:00 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,1.081,,,SOUTH SIDE OF MONTGOMERY RD 800' NW OF CRYSTAL SPRINGS DR,[TaxMap 31 Parcel 420],R-20,"(39.2327,-76.795)",POINT (1370416.9911123514 570352.9156701919)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40bd,253,Columbia Crest,2003-07-02,2003-07-17,5:00 PM,Patton Harris Rust & Associates,8818 Centre Park Dr,Columbia,21045,100,2.36,,,E SIDE OF COLUMBIA 100 PKY 1000' S OF EXECUTIVE PARK DR,[TaxMap 30 Parcel 406],POR,"(39.232,-76.8151)",POINT (1364712.5951443538 570091.0869501904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40bc,241,Gonce Property - CANCELLED,2003-06-23,2003-07-14,6:00 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,9,5,,,N SIDE MONTGOMERY RD OPPOSITE BELLANCA DR,[TaxMap 37 Parcel 47],R-20,"(39.2147,-76.7651)",POINT (1378891.964136351 563794.106234191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40bb,243,Donham Property,2003-06-23,2003-07-10,6:00 PM,"Horizons Unlimited Home Improvements, LLC",7387 Washington Blvd  Ste 104,Elkridge,21075,4,1.401,,,NORTH SIDE OF LARK BROWN RD OPPOSITE BENSON DR,[TaxMap 37 Parcel 471],R-12,"(39.1889,-76.7981)",POINT (1369528.7967083529 554410.4558301903)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40ba,239,Talbot Landing Estates,2003-06-20,2003-07-10,6:00 PM,Land Design & Development,8000 Main St,Ellicott City,21043,17,8.74,,,N SIDE OF TALBOTS LANDING RD,"[TaxMap 31 Parcel 725],[TaxMap 31 Parcel 726],[TaxMap 31 Parcel 727],[TaxMap 31 Parcel 728],[TaxMap 31 Parcel 729],[TaxMap 31 Parcel 730],[TaxMap 31 Parcel 731],[TaxMap 31 Parcel 733],[TaxMap 31 Parcel 734]",R-20,"(39.2289,-76.7735)",POINT (1376498.600466352 568971.0418701917)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b9,242,Proposed House Parcel 6,2003-06-23,2003-07-10,5:00 PM,"Horizons Unlimited Home Improvements, LLC",7387 Washington Blvd  Ste 104,Elkridge,21075,1,0.231,,,EAST SIDE OF OLD HUNT CLUB RD,[TaxMap 38 Parcel 6],R-20,"(39.2109,-76.7433)",POINT (1385046.4088323526 562428.2330781929)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b8,244,Neumyer Property,2003-06-25,2003-07-09,10:00 AM,(On Site),8203 Lincoln Dr,Jessup,20794,2,0.25,,,SOUTH SIDE OF LINCOLN DR,[TaxMap 43 Parcel 516],R-SC,"(39.1679,-76.7938)",POINT (1370753.3940343522 546792.3310311921)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b7,240,Reeley Property,2003-06-20,2003-07-08,6:00 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,1,,,N SIDE RIDGE RD,"[TaxMap 24 Parcel 215],[TaxMap 25 Parcel 215]",R-20,"(39.2777,-76.8086)",POINT (1366549.6328363493 586716.84701919)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b6,238,RRIG Corporation Property,2003-06-20,2003-07-08,7:00 PM,(On Site),4053 Old Columbia Pike,Ellicott City,21043,1,1.05,,,SE SIDE OLD COLUMBIA PIKE OPPOSITE COOKS LN,[TaxMap 24 Parcel 836],R-20,"(39.259,-76.8141)",POINT (1364997.9849863537 579915.1187151913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b5,237,Vetick Property,2003-06-18,2003-07-02,5:00 PM,"LDE, Inc.",9250 Rumsey Rd  Ste 106,Columbia,21045,2,2,,,SE SIDE OF MD RT 108 100' S OF MIDDLE PATUXENT CT,[TaxMap 29 Parcel 328],R-20,"(39.226,-76.9189)",POINT (1335299.3034343533 567926.9998491928)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b4,236,BGE substation - COND. USE (behind property),2003-06-12,2003-06-30,5:30 PM,"Benchmark Engineering, Inc.",8480 Baltimore National Pike  Ste 418,Ellicott City,21043,,,,,NW SIDE CLARKSVILLE PIKE OPPOSITE GREAT STAR DR,[TaxMap 34 Parcel 970],B-2,"(39.2126,-76.9407)",POINT (1329108.2993643545 563059.8948651925)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b3,235,Trotter's Ridge,2003-06-10,2003-06-26,6:30 PM,"Fisher, Collins & Carter, Inc.",10272 Balimore National Pike,Ellicott City,21042,2,1.09,,,W SIDE TROTTER RD S OF TALL TIMBER DR,[TaxMap 35 Parcel 162],R-20,"(39.2058,-76.9195)",POINT (1335132.0938943513 560559.7942401916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b2,234,Trotter's Glen,2003-06-10,2003-06-26,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,2,1,,,W SIDE TROTTER RD S OF TALL TIMBER DR,[TaxMap 35 Parcel 162],R-20,"(39.2058,-76.9195)",POINT (1335132.0938943513 560559.7942401916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b1,225,Moores Estate II,2003-06-04,2003-06-26,5:30 PM,"Mildenberg, Boender & Associates",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,2.23,,,S SIDE OF MISSION RD 600' SW OF REDONDO WAY,[TaxMap 42 Parcel 237],R-12,"(39.1577,-76.8134)",POINT (1365194.3853443526 543073.6359051913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40b0,233,Jashnani Property,2003-06-10,2003-06-26,6:00 PM,Land Design & Development,8000 Main St,Ellicott City,21043,2,1.33,,,S SIDE MD RT 108 1500' E OF ELIOTS OAK RD,[TaxMap 29 Parcel 314],R-20,"(39.2344,-76.8747)",POINT (1347808.5608683527 570979.122692192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40af,232,Resubdivision Of Lot 309 Daniels Mill Overlook,2003-06-06,2003-06-25,5:00 PM,(On Site),8651 Stonehouse Dr,Ellicott City,21043,3,2.482,,,S SIDE STONEHOUSE DR 600' SW OF WATERWHEEL CT,[TaxMap 17 Parcel 547],R-ED,"(39.2998,-76.8136)",POINT (1365138.8377683535 594754.6250721905)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40ae,229,Hosanna Baptist Church - CONDITIONAL USE,2003-06-05,2003-06-25,7:00 PM,(On Site),11424 Old Frederick Rd,Marriottsville,21044,,,,,N SIDE OF OLD FREDERICK RD 3000' W OF MARRIOTTSVILLE RD,[TaxMap 10 Parcel 272],RC-DEO,"(39.3199,-76.9091)",POINT (1338084.3341963515 602078.5562121924)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40ad,231,10151 Rodona Drive,2003-06-06,2003-06-23,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,2,2,,,TERMINUS OF RODONA DR,[TaxMap 36 Parcel 53],R-20,"(39.2019,-76.8629)",POINT (1351176.8411783502 559170.2837691903)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40ac,230,Age Restricted Project,2003-06-05,2003-06-20,10:00 AM,Harman Realty Office,Harman St & Montgomery Rd,Elkridge,21075,300,17.3,,,NW SIDE WASHINGTON BLVD 200' S OF BONNIE VIEW LN,[TaxMap 38 Parcel 38],POR,"(39.2098,-76.7248)",POINT (1390306.9910043515 562028.9442801923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40ab,249,"Kimberly Homes Ellicott Properties, LLC",2003-06-04,2003-06-19,5:00 PM,"Reese and Carney, LLP",10715 Charter Dr  Ste 200,Columbia,21044,11,6.87,,,NORTH SIDE OF FREDERICK ROAD ABOUT 225' WEST OF JAY DRIVE,"[TaxMap 24 Parcel 1119],[TaxMap 24 Parcel 812],[TaxMap 24 Parcel 918]",R-20,"(39.2777,-76.8541)",POINT (1353667.413106352 586717.2106701918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40aa,226,Hillside at Rocky Gorge IV,2003-06-04,2003-06-19,5:30 PM,(Model Home),9695 Norfolk Ave,Laurel,20723,2,0.78,,,,[TaxMap 46 Parcel 326],,"(39.1323,-76.8775)",POINT (1347028.3441503532 533858.3559141923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a9,227,Hillside at Rocky Gorge III,2003-06-04,2003-06-19,5:30 PM,(Model Home),9596 Norfolk Ave,Laurel,20723,2,0.78,,,,[TaxMap 46 Parcel 326],,"(39.1323,-76.8775)",POINT (1347028.3441503532 533858.3559141923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a8,222,Souder Property,2003-05-30,2003-06-19,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,3,2.48,,,N SIDE OF MD RT 216 600' NW OF PINEWAY DR,[TaxMap 46 Parcel 338],R-20,"(39.1404,-76.8838)",POINT (1345246.2872223482 536786.8374171909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a7,224,Day Care Center - CONDITIONAL USE,2003-06-02,2003-06-18,7:00 PM,,1201 Millgrove Rd,Silver Spring,20905,,,,,,[TaxMap 50 Parcel 413],R-SC,"(39.1178,-76.8606)",POINT (1351808.269746352 528582.5072061922)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a6,220,Age Restricted Housing - CONDITIONAL USE,2003-05-27,2003-06-17,6:00 PM,Church of God (Dining Hall),7340 Longview Rd,Simpsonville,21044,,28.23,,,"SOUTH OF LONGVIEW ROAD, WEST OF ROUTE 29",[TaxMap 41 Parcel 179],R-20,"(39.1713,-76.8853)",POINT (1344818.3441623524 548011.289183192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a5,223,8414 Leishear Road,2003-05-30,2003-06-17,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,7,4.2,,,W SIDE OF LEISHEAR RD,[TaxMap 46 Parcel 18],,"(39.2843,-76.8628)",POINT (1351194.6957563497 589118.3982231915)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a4,221,Igler Property,2003-05-29,2003-06-13,5:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,24,13.4,,,E SIDE OF NEW CUT RD 1000' N OF MONTGOMERY RD,[TaxMap 31 Parcel 11],R-20,"(39.2419,-76.7987)",POINT (1369347.700274352 573711.5963061918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a3,211,Gibson Property II,2003-05-21,2003-06-11,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,2,0.8,,,TERMINUS OF DORADO DR,[TaxMap 25 Parcel 285],R-20,"(39.2509,-76.8035)",POINT (1368009.7405483536 576962.6362461913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a2,216,Albright Property,2003-05-21,2003-06-09,5:30 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,3,0.74,,,NE SIDE AUGUSTINE AVE AT WASHINGTON BLVD,[TaxMap 38 Parcel 141],R-12,"(39.2132,-76.7188)",POINT (1391999.2082303502 563266.4486331921)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a1,219,Granite Manor,2003-05-23,2003-06-06,6:00 PM,(On Site),3713 Fells Ln,Ellicott City,21043,4,5.95,,,EAST SIDE OF FELS LN 200' NE OF ELLICOTT MILLS DR,[TaxMap 25 Parcel 83],HO,"(39.2708,-76.8002)",POINT (1368937.0449803509 584227.2922731917)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-40a0,217,9110 Sybert Dr,2003-05-22,2003-06-05,5:00 PM,(On Site),9110 Sybert Dr,Ellicott City,21043,2,1.658,,,N SIDE SYBERT DR 100' W OF MEADOWBROOK LN,[TaxMap 30 Parcel 367],R-20,"(39.2439,-76.8281)",POINT (1361014.4302503504 574431.6252861898)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409f,212,Clarke Property,2003-05-21,2003-06-05,10:00 AM,(On Site),4845 Bonnie View Ct,Ellicott City,21043,2,1.21,,,TERMINUS OF BONNIE VIEW CT,[TaxMap 31 Parcel 540],R-20,"(39.2366,-76.7844)",POINT (1373418.544058349 571757.3358321916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409e,215,Marydell Addition,2003-05-22,2003-06-05,6:00 PM,(On Site),9230 Marydell Rd,Ellicott City,21042,2,1,,,TERMINUS OF MARYDELL RD,[TaxMap 17 Parcel 210],R-20,"(39.2937,-76.831)",POINT (1360192.2694443539 592520.7169791907)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409d,214,St. John's Point,2003-05-22,2003-06-05,6:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,4,2.2,,,E SIDE OF ST. JOHNS LN N OF HIGH POINT RD,[TaxMap 24 Parcel 458],R-20,"(39.2621,-76.8246)",POINT (1362016.5538663492 581065.3468281906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409c,218,9251 Coleman Thomas Dr,2003-05-22,2003-06-05,6:00 PM,(On Site),9251 Coleman Thomas Dr,Columbia,21046,2,0.715,,,S SIDE OF COLEMAN THOMAS RD,[TaxMap 42 Parcel 47],R-12,"(39.1685,-76.8329)",POINT (1359678.1709603518 547019.9765571915)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409b,209,Marshalee Woods Active Adult - CONDITIONAL USE,2003-05-20,2003-06-05,5:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21043,,,,,NORTH SIDE OF MARSHALEE DR WEST OF DEBORAH JEAN DR,"[TaxMap 37 Parcel 682],[TaxMap 37 Parcel 699]",R-20,"(39.2099,-76.7571)",POINT (1381135.972844351 562074.7643061914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-409a,213,Toliver Overlook,2003-05-22,2003-06-05,6:00 PM,(On Site),3041 Bethany Ln,Ellicott City,21042,2,2,,,E SIDE OF BETHANY LN OPPOSITE PATUXENT OVERLOOK CT,[TaxMap 17 Parcel 534],R-20,"(39.2879,-76.8565)",POINT (1352980.1535563543 590413.723085193)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4099,210,Hebron Manor,2003-05-20,2003-06-05,5:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,9,4.52,,,SOUTH SIDE OF OLD FREDERICK RD AT ST. JOHN'S LN,[TaxMap 17 Parcel 518],R-20,"(39.2971,-76.842)",POINT (1357101.443608351 593783.3132511918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4098,205,Woodland Road - Lot 1,2003-05-16,2003-06-04,5:30 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,1.4,,,WOODLAND RD 1100' S OF OLD ANNAPOLIS RD,[TaxMap 30 Parcel 189],R-20,"(39.2421,-76.8481)",POINT (1355355.0958363488 573779.9626941923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4097,207,Woodland Road - Lot 2,2003-05-16,2003-06-04,6:00 PM,"Mildenberg, Boender & Assoc., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,1.43,,,WOODLAND RD 1100' S OF OLD ANNAPOLIS RD,[TaxMap 30 Parcel 189],R-20,"(39.2421,-76.8481)",POINT (1355355.0958363488 573779.9626941923)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4096,208,German Road,2003-05-19,2003-06-03,6:00 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,1,0.835,,,S SIDE GERMAN RD 700' W OF BETHANY LN,[TaxMap 17 Parcel 281],,"(39.2891,-76.8581)",POINT (1352538.6070083529 590860.6501641907)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4095,206,Yaw Property,2003-05-16,2003-06-02,6:00 PM,"Fisher, Collins & Carter, Inc.",10272 Baltimore National Pike,Ellicott City,21042,2,1.046,,,N SIDE ELLIS LN 1000' E OF ILCHESTER RD,"[TaxMap 31 Parcel 239],[TaxMap 31 Parcel 242]",R-20,"(39.2331,-76.7692)",POINT (1377731.4165663533 570518.7405261919)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4094,199,Stone Manor  Sec. 3,2003-05-07,2003-05-29,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,15,8,,,WEST SIDE OF NEW CUT RD 600' N OF HILLSBOROUGH RD,"[TaxMap 25 Parcel 68],[TaxMap 25 Parcel 69]",R-20,"(39.2513,-76.801)",POINT (1368720.2393903509 577113.1877601929)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4093,203,Hale Property,2003-05-13,2003-05-28,4:00 PM,FSH Associates,8318 Forrest St,Ellicott City,21043,9,4.98,,,E SIDE OF ILCHESTER RD,[TaxMap 31 Parcel 623],R-ED,"(39.2427,-76.7646)",POINT (1379014.6789343506 573987.9710661918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4092,204,Sidehill Road Property,2003-05-13,2003-05-28,10:00 AM,(On Site),end of Sidehill Rd,Ellicott City,21042,1,3.749,,,TERMINUS OF SIDEHILL RD,[TaxMap 24 Parcel 246],R-20,"(39.2705,-76.8198)",POINT (1363389.0891243517 584099.2871211916)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4091,200,"Village Towns, Phase III",2003-05-08,2003-05-27,5:30 PM,"Mildenberg, Boender & Associates., Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,150,11.85,,,NE QUADRANT OF OLD WATERLOO RD AT PORT CAPITAL DR,[TaxMap 43 Parcel 3],R-MH,"(39.1785,-76.7833)",POINT (1373719.5212303512 550657.2138591912)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4090,201,Spence Property,2003-05-08,2003-05-27,5:30 PM,Brantly Development Group,8835-P Columbia 100 Pky,Columbia,21045,9,4.6,,,WEST SIDE OF MONTGOMERY RD 350' S OF KERGER RD,"[TaxMap 31 Parcel 554],[TaxMap 31 Parcel 565],[TaxMap 31 Parcel 595]",R-20,"(39.2197,-76.7891)",POINT (1372071.7987463512 565629.452831192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408f,197,5073 South Ilchester Road,2003-05-01,2003-05-22,5:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,1,0.85,,,TERMINUS OF TALBOTS LANDING,[TaxMap 31 Parcel 663],R-20,"(39.2229,-76.7661)",POINT (1378586.2406945378 566805.1398063041)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408e,196,Coon Property,2003-04-30,2003-05-21,5:30 PM,"Mildenberg, Boender & Associates, Inc.",5072 Dorsey Hall Dr  Ste 202,Ellicott City,21042,2,4.7,,,S SIDE OF HARDING RD 300' W OF OLD BOND MILL RD,[TaxMap 46 Parcel 153],R-20,"(39.1329,-76.8827)",POINT (1345551.5154843517 534065.6369841918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408d,198,Old Scaggsville Road Subdivision,2003-05-02,2003-05-19,6:00 PM,Eastern Homes,8291 Washington Blvd,Jessup,20794,1,0.55,,,W SIDE OLD SCAGGSVILLE RD 900' N OF STANSFIELD RD,[TaxMap 47 Parcel 152],R-SC,"(39.1229,-76.8648)",POINT (1350632.134846352 530425.4904741906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408c,195,In-Law Apt. - CONDITIONAL USE,2003-04-28,2003-05-13,7:00 PM,(On Site),4431 Keenan Dr,Ellicott City,21042,,,,,TERMINUS OF KEENAN DR,[TaxMap 24 Parcel 310],R-20,"(39.2514,-76.8301)",POINT (1360463.2055803537 577143.7344441898)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408b,190,Ferguson/Dasher Properties,2003-04-22,2003-05-13,5:30 PM,Model Home,5825 Rockburn Woods Way,Elkridge,21075,9,2.66,,,W SIDE OF WATERLOO RD OPPOSITE MAYFIELD AVE,"[TaxMap 37 Parcel 253],[TaxMap 37 Parcel 426]",R-12,"(39.1978,-76.7952)",POINT (1370365.4112203494 557669.132441191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-408a,194,Christ Evangelical Lutheran Church - COND. USE,2003-04-24,2003-05-12,6:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21042,,,,,W SIDE OF CLARKSVILLE PIKE 800' S OF GUILFORD RD,[TaxMap 34 Parcel 47],RR-DEO,"(39.2014,-76.9448)",POINT (1327967.023402352 558987.0036651902)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4089,193,Cedar Lane Active Adult Community - ZONING BD CASE,2003-04-22,2003-05-08,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,74,9.96,,,SW QUADRANT OF CEDAR LN & HARMEL DR,"[TaxMap 35 Parcel 104],[TaxMap 35 Parcel 105],[TaxMap 35 Parcel 106],[TaxMap 35 Parcel 188]",,"(39.1988,-76.8858)",POINT (1344683.7263123542 558020.055656191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4088,186,Centennial Overlook,2003-04-08,2003-05-08,6:30 PM,"Frederick Ward Associates, Inc.",7125 Riverwood Dr,Columbia,21046,2,1.16,,,S SIDE MAXINE ST 500' E OF CENTENNIAL LN,[TaxMap 30 Parcel 175],R-20,"(39.2454,-76.8656)",POINT (1350401.1589563526 574959.6465381905)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4087,191,Cedar Lane Active Adult - ZONING BOARD CASE,2003-04-22,2003-05-08,7:30 PM,The Hawthorn Center,6175 Sunny Spring,Columbia,21044,55,6.842,,,"NORTHWEST OF CEDAR LN, S OF ITS INTERSECTION WITH FREETOWN RD","[TaxMap 35 Parcel 224],[TaxMap 35 Parcel 326]",PSC,"(39.1956,-76.8874)",POINT (1344215.256194353 556872.3731001914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4086,189,Taylor Farm at Waverly,2003-04-21,2003-05-07,5:00 PM,"Benchmark Engineering, Inc.",8480 Baltimore National Pike  Ste 418,Ellicott City,21043,42,23.93,,,TERMINUS OF TAYLOR FARM RD,"[TaxMap 10 Parcel 309],[TaxMap 16 Parcel 309]",R-20,"(39.3162,-76.8879)",POINT (1344074.4034123532 600715.2286131904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4085,187,4556 Bonnie Branch Road,2003-04-09,2003-04-29,6:30 PM,Land Design & Development,8000 Main St,Ellicott City,21043,2,5.83,,,W SIDE OF BONNIE BRANCH RD S OF COLLEGE AVE,[TaxMap 31 Parcel 399],R-20,"(39.2456,-76.7761)",POINT (1375765.9959563538 575052.3775431924)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4084,188,Shalom Miracle Church - CONDITIONAL USE,2003-04-14,2003-04-28,6:30 PM,,5100 Dorsey Hall Dr,Ellicott City,21042,,,,,NORTH SIDE OF US RT 40 500' W OF PEBBLE BEACH DR,[TaxMap 16 Parcel 62],R-20,"(39.2841,-76.8758)",POINT (1347508.7173203528 589049.304533191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4083,182,Bethel Korean Presbyterian Church - COND. USE,2003-03-26,2003-04-16,7:00 PM,(On Site),3165 St. Johns Ln,Ellicott City,21043,,,,,E SIDE ST. JOHNS LN OPPOSITE CHURCHGATE RD,"[TaxMap 17 Parcel 1168],[TaxMap 24 Parcel 1168]",R-SI,"(39.2846,-76.8268)",POINT (1361383.7082683519 589222.0387581903)
